year,global_avg_temp,city_avg_temp
1750,8.72,12.01
1751,7.98,12.71
1752,5.78,7.07
1753,8.39,11.47
1754,8.47,11.49
1755,8.36,11.17
1756,8.85,11.50
1757,9.02,11.34
1758,6.74,10.24
1759,7.99,11.35
1760,7.19,10.92
1761,8.77,11.53
1762,8.61,11.43
1763,7.50,10.79
1764,8.40,11.46
1765,8.25,11.48
1766,8.41,11.34
1767,8.22,11.45
1768,6.78,10.77
1769,7.69,11.23
1770,7.69,11.08
1771,7.85,11.57
1772,8.19,12.18
1773,8.22,11.15
1774,8.77,11.79
1775,9.18,11.93
1776,8.30,11.43
1777,8.26,11.27
1778,8.54,11.62
1779,8.98,11.80
1780,9.43,12.21
1781,8.10,11.85
1782,7.90,10.84
1783,7.68,11.40
1784,7.86,11.15
1785,7.36,10.95
1786,8.26,11.36
1787,8.03,11.51
1788,8.45,11.98
1789,8.33,10.72
1790,7.98,11.57
1791,8.23,11.59
1792,8.09,11.58
1793,8.23,11.57
1794,8.53,11.46
1795,8.35,11.56
1796,8.27,11.36
1797,8.51,11.19
1798,8.67,11.53
1799,8.51,11.02
1800,8.48,11.95
1801,8.59,11.74
1802,8.58,11.90
1803,8.50,11.61
1804,8.84,12.06
1805,8.56,11.10
1806,8.43,11.74
1807,8.28,11.13
1808,7.63,10.47
1809,7.08,10.65
1810,6.92,10.40
1811,6.86,10.84
1812,7.05,10.43
1813,7.74,10.66
1814,7.59,10.26
1815,7.24,10.85
1816,6.94,10.20
1817,6.98,11.37
1818,7.83,11.67
1819,7.37,11.02
1820,7.62,10.83
1821,8.09,11.67
1822,8.19,11.67
1823,7.72,11.08
1824,8.55,11.43
1825,8.39,11.62
1826,8.36,11.34
1827,8.81,11.22
1828,8.17,11.65
1829,7.94,10.77
1830,8.52,11.31
1831,7.64,11.65
1832,7.45,11.15
1833,8.01,11.07
1834,8.15,12.09
1835,7.39,10.98
1836,7.70,11.11
1837,7.38,11.09
1838,7.51,11.23
1839,7.63,11.16
1840,7.80,10.96
1841,7.69,11.23
1842,8.02,11.17
1843,8.17,11.41
1844,7.65,11.23
1845,7.85,10.83
1846,8.55,11.85
1847,8.09,11.30
1848,7.98,10.97
1849,7.98,11.30
1850,7.90,11.40
1851,8.18,11.01
1852,8.10,11.84
1853,8.04,10.42
1854,8.21,11.19
1855,8.11,10.61
1856,8.00,11.87
1857,7.76,11.34
1858,8.10,11.74
1859,8.25,11.25
1860,7.96,10.57
1861,7.85,11.27
1862,7.56,11.29
1863,8.11,11.19
1864,7.98,11.49
1865,8.18,11.40
1866,8.29,11.41
1867,8.44,11.61
1868,8.25,11.84
1869,8.43,11.34
1870,8.20,11.70
1871,8.12,11.10
1872,8.19,11.31
1873,8.35,11.25
1874,8.43,11.60
1875,7.86,11.63
1876,8.08,11.69
1877,8.54,11.51
1878,8.83,11.57
1879,8.17,10.98
1880,8.12,11.12
1881,8.27,11.91
1882,8.13,11.17
1883,7.98,10.59
1884,7.77,10.78
1885,7.92,10.59
1886,7.95,10.99
1887,7.91,10.71
1888,8.09,10.44
1889,8.32,10.35
1890,7.97,10.54
1891,8.02,10.73
1892,8.07,11.25
1893,8.06,11.87
1894,8.16,10.87
1895,8.15,11.81
1896,8.21,10.50
1897,8.29,12.04
1898,8.18,11.53
1899,8.40,12.50
1900,8.50,11.54
1901,8.54,10.84
1902,8.30,11.08
1903,8.22,11.13
1904,8.09,11.76
1905,8.23,10.85
1906,8.38,11.26
1907,7.95,11.24
1908,8.19,11.57
1909,8.18,10.90
1910,8.22,10.82
1911,8.18,11.16
1912,8.17,10.95
1913,8.30,11.36
1914,8.59,11.18
1915,8.59,11.32
1916,8.23,11.21
1917,8.02,10.63
1918,8.13,11.12
1919,8.38,11.03
1920,8.36,11.82
1921,8.57,11.66
1922,8.41,11.14
1923,8.42,11.31
1924,8.51,11.57
1925,8.53,10.72
1926,8.73,12.13
1927,8.52,11.54
1928,8.63,11.76
1929,8.24,11.85
1930,8.63,11.79
1931,8.72,11.48
1932,8.71,10.91
1933,8.34,11.49
1934,8.63,11.36
1935,8.52,11.27
1936,8.55,11.17
1937,8.70,12.03
1938,8.86,11.93
1939,8.76,11.23
1940,8.76,11.53
1941,8.77,11.10
1942,8.73,11.63
1943,8.76,12.11
1944,8.85,11.26
1945,8.58,12.56
1946,8.68,11.10
1947,8.80,12.38
1948,8.75,12.49
1949,8.59,12.43
1950,8.37,12.17
1951,8.63,11.15
1952,8.64,11.50
1953,8.87,11.76
1954,8.56,11.29
1955,8.63,12.45
1956,8.28,10.34
1957,8.73,11.30
1958,8.77,11.80
1959,8.73,11.80
1960,8.58,11.57
1961,8.80,12.60
1962,8.75,11.70
1963,8.86,11.20
1964,8.41,11.97
1965,8.53,11.55
1966,8.60,11.79
1967,8.70,11.50
1968,8.52,11.85
1969,8.60,10.94
1970,8.70,11.61
1971,8.60,10.83
1972,8.50,10.65
1973,8.95,11.22
1974,8.47,11.07
1975,8.74,11.14
1976,8.35,11.31
1977,8.85,11.30
1978,8.69,11.53
1979,8.73,11.72
1980,8.98,11.42
1981,9.17,12.10
1982,8.64,12.05
1983,9.03,11.98
1984,8.69,11.05
1985,8.66,12.04
1986,8.83,11.65
